Cuisine,Recipe Name,Ingredients,Instructions
Italy,Spaghetti Carbonara,Spaghetti; Eggs; Pecorino Romano; Guanciale; Black Pepper,Cook pasta and mix with sauce
Italy,Margherita Pizza,Pizza dough; Tomatoes; Mozzarella; Basil,Bake until crust is crisp
Italy,Lasagna,Pasta sheets; Beef; Tomato sauce; Cheese,Layer and bake
Italy,Risotto alla Milanese,Arborio rice; Saffron; Parmesan; Butter,Simmer slowly while stirring
Italy,Tiramisu,Ladyfingers; Mascarpone; Coffee; Cocoa,Layer and chill
Italy,Pesto Genovese,Basil; Pine nuts; Parmesan; Olive oil; Garlic,Blend into a paste
Italy,Fettuccine Alfredo,Fettuccine; Butter; Cream; Parmesan,Mix sauce with cooked pasta
Italy,Osso Buco,Veal shanks; Vegetables; Wine,Braise until tender
Italy,Chicken Parmigiana,Chicken cutlet; Marinara; Mozzarella,Bake until cheese melts
Italy,Caprese Salad,Tomatoes; Mozzarella; Basil; Olive oil,Serve fresh
Spain,Paella Valenciana,Rice; Saffron; Chicken; Seafood; Vegetables,Cook rice with stock and toppings
Spain,Tortilla Española,Potatoes; Eggs; Onions,Fry and set like a thick omelet
Spain,Gazpacho,Tomatoes; Onion; Cucumber; Olive oil,Blend and chill
Spain,Patatas Bravas,Potatoes; Paprika sauce,Fry potatoes and top with sauce
Spain,Churros,Flour; Butter; Sugar; Cinnamon,Fry dough and coat in sugar
Spain,Albóndigas,Beef; Garlic; Tomato sauce,Simmer in sauce
Spain,Fabada Asturiana,Beans; Sausage; Ham,Slow cook until tender
Spain,Pisto,Peppers; Tomato; Onion; Zucchini,Sauté together
Spain,Gambas al Ajillo,Shrimp; Garlic; Olive oil,Sauté shrimp in garlic
Spain,Pulpo a la Gallega,Octopus; Paprika; Olive oil,Slice and season
Mexico,Tacos al Pastor,Pork; Pineapple; Tortillas,Grill and assemble
Mexico,Guacamole,Avocado; Onion; Lime; Cilantro,Mash and mix
Mexico,Chilaquiles,Tortilla chips; Salsa; Cheese,Cook until softened
Mexico,Mole Poblano,Chilies; Chocolate; Spices,Simmer into sauce
Mexico,Enchiladas,Tortillas; Chicken; Cheese; Salsa,Fill and bake
Mexico,Posole,Hominy; Pork; Chilies,Simmer long and slow
Mexico,Huevos Rancheros,Eggs; Tortillas; Salsa,Serve eggs over tortillas
Mexico,Quesadillas,Tortillas; Cheese,Heat until melted
Mexico,Sopa de Lima,Lime; Chicken; Tortilla strips,Simmer and serve
Mexico,Elote,Corn; Mayonnaise; Cheese; Chili powder,Grill and dress
Thailand,Pad Thai,Rice noodles; Tamarind; Shrimp; Egg,Stir fry together
Thailand,Green Curry,Coconut milk; Green curry paste; Chicken,Simmer together
Thailand,Tom Yum,Shrimp; Lemongrass; Lime,Broth with aromatics
Thailand,Massaman Curry,Potato; Peanuts; Beef; Curry paste,Simmer in coconut milk
Thailand,Pad See Ew,Wide noodles; Soy sauce; Pork,Stir fry with vegetables
Thailand,Som Tam,Green papaya; Lime; Chili,Pound and mix
Thailand,Khao Soi,Egg noodles; Curry broth,Serve with chicken and toppings
Thailand,Pla Rad Prik,Whole fish; Chili sauce,Fry and top
Thailand,Larb,Minced meat; Lime; Herbs,Mix and serve fresh
Thailand,Sai Ua,Pork sausage; Herbs,Grill and slice
Turkey,Lahmacun,Flatbread; Minced lamb; Spices,Bake until crisp
Turkey,Doner Kebab,Lamb; Yogurt; Flatbread,Shave meat and wrap
Turkey,Manti,Dumplings; Yogurt sauce,Boil and top
Turkey,Menemen,Eggs; Tomato; Peppers,Scramble together
Turkey,Pide,Boat-shaped flatbread; Cheese; Meat,Bake until golden
Turkey,Baklava,Phyllo; Nuts; Honey,Syrup-soak after baking
Turkey,Kofte,Lamb; Spices; Onion,Form patties and grill
Turkey,Imam Bayildi,Eggplant; Tomato; Garlic,Braise until tender
Turkey,Kunefe,Cheese pastry; Syrup,Bake and soak
Turkey,Corba,Lentils; Vegetables; Stock,Simmer into soup
Greece,Moussaka,Eggplant; Ground lamb; Béchamel,Bake in layers
Greece,Spanakopita,Spinach; Feta; Phyllo,Bake until flaky
Greece,Souvlaki,Pork; Lemon; Oregano,Grill on skewers
Greece,Tzatziki,Yogurt; Cucumber; Garlic,Mix and chill
